iau_id1,year,students5_estimated
IAU-000810-1,2000,1546
IAU-000810-1,2005,2106
IAU-000810-1,2010,2317
IAU-000810-1,2015,1835
IAU-000810-1,2020,1901
IAU-000916-1,2010,403
IAU-000916-1,2015,832
IAU-000916-1,2020,1590
IAU-001074-1,2010,1526
IAU-001074-1,2015,2039
IAU-001074-1,2020,3368
IAU-001075-1,2005,1170
IAU-001075-1,2010,1880
IAU-001075-1,2015,2513
IAU-001075-1,2020,4150
IAU-001360-1,1990,615
IAU-001360-1,1995,651
IAU-001360-1,2000,875
IAU-001360-1,2005,1691
IAU-001360-1,2010,2719
IAU-001360-1,2015,3633
IAU-001360-1,2020,6000
IAU-001365-1,1995,446
IAU-001365-1,2000,897
IAU-001365-1,2005,1169
IAU-001365-1,2010,1488
IAU-001365-1,2015,1637
IAU-001365-1,2020,2684
IAU-001393-1,2005,634
IAU-001393-1,2010,800
IAU-001393-1,2015,914
IAU-001393-1,2020,1033
IAU-001413-1,1990,1079
IAU-001413-1,1995,1356
IAU-001413-1,2000,1513
IAU-001413-1,2005,3337
IAU-001413-1,2010,5700
IAU-001413-1,2015,13023
IAU-001413-1,2020,19722
IAU-001429-1,2000,1149
IAU-001429-1,2005,1147
IAU-001429-1,2010,1146
IAU-001429-1,2015,858
IAU-001429-1,2020,1163
IAU-006264-1,1980,81
IAU-006264-1,1985,109
IAU-006264-1,1990,293
IAU-006264-1,1995,310
IAU-006264-1,2000,417
IAU-006264-1,2005,806
IAU-006264-1,2010,1296
IAU-006264-1,2015,2140
IAU-006264-1,2020,3355
IAU-006651-1,2010,707
IAU-006651-1,2015,2063
IAU-006651-1,2020,3767
IAU-007188-1,1990,174
IAU-007188-1,1995,493
IAU-007188-1,2000,2066
IAU-007188-1,2005,4033
IAU-007188-1,2010,5678
IAU-007188-1,2015,5837
IAU-007188-1,2020,9174
IAU-009878-1,2005,1434
IAU-009878-1,2010,2305
IAU-009878-1,2015,3806
IAU-009878-1,2020,5968
IAU-010035-1,1950,81
IAU-010035-1,1955,104
IAU-010035-1,1960,124
IAU-010035-1,1965,165
IAU-010035-1,1970,251
IAU-010035-1,1975,473
IAU-010035-1,1980,984
IAU-010035-1,1985,1296
IAU-010035-1,1990,1272
IAU-010035-1,1995,1491
IAU-010035-1,2000,3150
IAU-010035-1,2005,3803
IAU-010035-1,2010,4563
IAU-010035-1,2015,4675
IAU-010035-1,2020,7227
IAU-010036-1,1950,113
IAU-010036-1,1955,127
IAU-010036-1,1960,142
IAU-010036-1,1965,177
IAU-010036-1,1970,255
IAU-010036-1,1975,461
IAU-010036-1,1980,921
IAU-010036-1,1985,1139
IAU-010036-1,1990,1026
IAU-010036-1,1995,1120
IAU-010036-1,2000,1631
IAU-010036-1,2005,2247
IAU-010036-1,2010,2885
IAU-010036-1,2015,3387
IAU-010036-1,2020,3636
IAU-010037-1,1965,63
IAU-010037-1,1970,96
IAU-010037-1,1975,182
IAU-010037-1,1980,378
IAU-010037-1,1985,264
IAU-010037-1,1990,285
IAU-010037-1,1995,572
IAU-010037-1,2000,1062
IAU-010037-1,2005,1674
IAU-010037-1,2010,2287
IAU-010037-1,2015,2624
IAU-010037-1,2020,1219
IAU-010095-1,1990,58
IAU-010095-1,1995,111
IAU-010095-1,2000,128
IAU-010095-1,2005,282
IAU-010095-1,2010,1167
IAU-010095-1,2015,3455
IAU-010095-1,2020,8842
IAU-010141-1,2005,1127
IAU-010141-1,2010,1812
IAU-010141-1,2015,2422
IAU-010141-1,2020,4000
IAU-010167-1,2010,1823
IAU-010167-1,2015,2436
IAU-010167-1,2020,4024
IAU-010326-1,2010,747
IAU-010326-1,2015,965
IAU-010326-1,2020,1132
IAU-010342-1,2010,748
IAU-010342-1,2015,965
IAU-010342-1,2020,1040
IAU-010601-1,1970,10
IAU-010601-1,1975,26
IAU-010601-1,1980,77
IAU-010601-1,1985,104
IAU-010601-1,1990,279
IAU-010601-1,1995,296
IAU-010601-1,2000,398
IAU-010601-1,2005,769
IAU-010601-1,2010,1236
IAU-010601-1,2015,2041
IAU-010601-1,2020,3200
IAU-011307-1,2010,906
IAU-011307-1,2015,1211
IAU-011307-1,2020,2000
IAU-011428-1,2010,1087
IAU-011428-1,2015,1453
IAU-011428-1,2020,2400
IAU-011482-1,2010,747
IAU-011482-1,2015,965
IAU-011482-1,2020,1132
IAU-012340-1,1965,107
IAU-012340-1,1970,360
IAU-012340-1,1975,1303
IAU-012340-1,1980,2032
IAU-012340-1,1985,1002
IAU-012340-1,1990,1252
IAU-012340-1,1995,1754
IAU-012340-1,2000,2257
IAU-012340-1,2005,2759
IAU-012340-1,2010,3650
IAU-012340-1,2015,7391
IAU-012340-1,2020,13762
IAU-013270-1,2005,379
IAU-013270-1,2010,1425
IAU-013270-1,2015,3944
IAU-013270-1,2020,7214
IAU-013390-1,1965,169
IAU-013390-1,1970,241
IAU-013390-1,1975,376
IAU-013390-1,1980,472
IAU-013390-1,1985,469
IAU-013390-1,1990,547
IAU-013390-1,1995,735
IAU-013390-1,2000,949
IAU-013390-1,2005,1255
IAU-013390-1,2010,1362
IAU-013390-1,2015,1816
IAU-013390-1,2020,2115
IAU-013550-1,1950,928
IAU-013550-1,1955,1024
IAU-013550-1,1960,1404
IAU-013550-1,1965,2464
IAU-013550-1,1970,3945
IAU-013550-1,1975,8387
IAU-013550-1,1980,9561
IAU-013550-1,1985,8260
IAU-013550-1,1990,7170
IAU-013550-1,1995,9232
IAU-013550-1,2000,11166
IAU-013550-1,2005,12059
IAU-013550-1,2010,10554
IAU-013550-1,2015,16723
IAU-013550-1,2020,20492
IAU-014347-1,2010,1191
IAU-014347-1,2015,1602
IAU-014347-1,2020,1970
IAU-015227-1,1995,1160
IAU-015227-1,2000,1851
IAU-015227-1,2005,2297
IAU-015227-1,2010,2742
IAU-015227-1,2015,2955
IAU-015227-1,2020,3000
IAU-016108-1,1995,343
IAU-016108-1,2000,533
IAU-016108-1,2005,1175
IAU-016108-1,2010,1985
IAU-016108-1,2015,2728
IAU-016108-1,2020,7000
IAU-022210-1,2010,746
IAU-022210-1,2015,965
IAU-022210-1,2020,1044
IAU-022336-1,2010,1359
IAU-022336-1,2015,1816
IAU-022336-1,2020,3000
IAU-022351-1,2010,746
IAU-022351-1,2015,965
IAU-022351-1,2020,1136
IAU-027358-1,2010,1320
IAU-027358-1,2015,1817
IAU-027358-1,2020,2216
IAU-027359-1,2010,1320
IAU-027359-1,2015,1817
IAU-027359-1,2020,2216
IAU-027360-1,2015,1818
IAU-027360-1,2020,2226
IAU-027361-1,2015,1818
IAU-027361-1,2020,2226
IAU-027364-1,2010,1323
IAU-027364-1,2015,1817
IAU-027364-1,2020,2207
IAU-027367-1,2010,1190
IAU-027367-1,2015,1604
IAU-027367-1,2020,1975
IAU-027370-1,2015,1605
IAU-027370-1,2020,1980
IAU-027373-1,2015,1605
