iau_id1,countrycode,latitude,longitude
IAU-000810-1,AFG,35.1270053,69.3193192
IAU-000916-1,AFG,34.4755224,69.1264538
IAU-001074-1,AFG,34.4755224,69.1264538
IAU-001075-1,AFG,34.4333701,70.4336195
IAU-001360-1,AFG,37.1037178,70.5278778
IAU-001365-1,AFG,35.9442328,68.7085063
IAU-001393-1,AFG,34.5103926,69.1393927
IAU-001413-1,AFG,36.7101554,67.1272604
IAU-001429-1,AFG,34.8011295,67.8327737
IAU-006264-1,AFG,35.9172556,64.7808495
IAU-006651-1,AFG,33.5588632,68.4468637
IAU-007188-1,AFG,34.3677723,62.2113082
IAU-009878-1,AFG,36.6726284,65.7413376
IAU-010035-1,AFG,34.5323516,69.1127177
IAU-010036-1,AFG,34.519347,69.1329308
IAU-010037-1,AFG,34.5342002,69.1193756
IAU-010095-1,AFG,31.639681,65.696471
IAU-010141-1,AFG,43.6609086,-79.3959518
IAU-010167-1,AFG,34.4968727,69.0522453
IAU-010326-1,AFG,33.5363879,68.4151265
IAU-010342-1,AFG,34.4303223,70.4326769
IAU-010601-1,AFG,36.7114739,68.8632166
IAU-011307-1,AFG,34.5603087,69.153885
IAU-011428-1,AFG,34.5250992,69.3225628
IAU-011482-1,AFG,36.717488,67.0883365
IAU-012340-1,AFG,34.4773441,70.3671505
IAU-013270-1,AFG,33.6381234,69.2331223
IAU-013390-1,AFG,35.0010661,69.1680172
IAU-013550-1,AFG,34.5161109,69.1344327
IAU-014347-1,AFG,36.4676085,52.3511183
IAU-015227-1,AFG,33.3506126,69.8702774
IAU-016108-1,AFG,36.7425502,69.4870854
IAU-022210-1,AFG,34.5470644,69.1421
IAU-022336-1,AFG,34.5312763,69.0886573
IAU-022351-1,AFG,34.5655113,69.1647436
IAU-027358-1,AFG,34.8601074,71.140129
IAU-027359-1,AFG,34.7041932,70.201104
IAU-027360-1,AFG,33.5328851,68.4118805
IAU-027361-1,AFG,31.4525255,65.8628683
IAU-027364-1,AFG,31.5801024,64.3700635
IAU-027367-1,AFG,35.2476968,69.4262261
IAU-027370-1,AFG,33.8886575,65.1049805
IAU-027373-1,AFG,34.5000702,69.1450588
IAU-027374-1,AFG,32.4295902,62.1462251
IAU-027378-1,AFG,34.3790143,68.735911
IAU-000633-1,ALB,41.3177272,19.8203662
IAU-016982-1,ALB,41.3331111,19.8170095
IAU-019892-1,ALB,40.0824861,20.1370951
IAU-019893-1,ALB,40.6274667,20.7854247
IAU-019895-1,ALB,41.3130603,19.814951
IAU-019896-1,ALB,41.332722,19.82266
IAU-019897-1,ALB,41.3133614,19.4342029
IAU-019899-1,ALB,41.3615567,19.769577
IAU-019900-1,ALB,41.40506,19.705836
IAU-019901-1,ALB,41.3420364,19.8451916
IAU-019903-1,ALB,42.0662237,19.5095856
IAU-019904-1,ALB,41.3307726,19.8024462
IAU-019905-1,ALB,41.3574439,19.839334
IAU-019906-1,ALB,40.4542704,19.4847554
IAU-019909-1,ALB,41.319163,19.8284541
IAU-019910-1,ALB,41.3525324,19.7504196
IAU-020336-1,ALB,41.309445,19.801978
IAU-021857-1,ALB,41.3342105,19.7979909
IAU-023044-1,ALB,41.3392547,19.8110335
IAU-023218-1,ALB,41.3423528,19.8332456
IAU-023220-1,ALB,41.3424138,19.8455747
IAU-026949-1,ALB,41.3200683,19.829978
IAU-027206-1,ALB,40.8963705,20.6838977
IAU-027230-1,ALB,41.3218301,19.8033345
IAU-027244-1,ALB,41.3232575,19.7942305
IAU-027245-1,ALB,41.3417574,19.7884633
IAU-027246-1,ALB,41.3150499,19.8059204
IAU-002166-1,DZA,22.8151913,5.448912
IAU-002167-1,DZA,35.2947988,-1.1249829
IAU-002170-1,DZA,36.4626699,6.2150328
IAU-002172-1,DZA,35.7053145,0.5772543
IAU-002173-1,DZA,35.5986586,1.8240708
IAU-004023-1,DZA,36.6391369,2.7888215
IAU-004071-1,DZA,36.7529576,3.0244575
IAU-004104-1,DZA,43.6590888,-79.3927925
IAU-004121-1,DZA,36.7231786,3.1507671
IAU-004122-1,DZA,35.6657723,-0.6333503
IAU-004123-2,DZA,36.7220822,3.1496819
IAU-004147-1,DZA,36.510707,2.8904507
IAU-004148-1,DZA,36.7050299,3.1739156
IAU-004155-1,DZA,36.6423275,2.7899072
IAU-004157-1,DZA,36.7507703,3.0149271
IAU-004162-1,DZA,36.7763738,3.2577628
IAU-004172-1,DZA,36.7552334,2.9828493
IAU-004173-1,DZA,36.7255932,3.0696041
IAU-004179-1,DZA,36.7665852,3.0010849
IAU-004186-1,DZA,36.7124092,3.1692402
IAU-004197-1,DZA,36.2753045,6.5889926
IAU-004198-1,DZA,36.7313962,3.0737082
IAU-004207-1,DZA,36.7197667,3.1544373
IAU-004222-1,DZA,36.730584,3.1589429
IAU-004258-1,DZA,36.7953678,2.991457
IAU-004261-1,DZA,36.640033,2.786879
IAU-004292-1,DZA,36.7645283,3.0220871
IAU-007886-1,DZA,36.7522736,3.4815161
IAU-008065-1,DZA,36.6409416,2.7914018
IAU-008066-1,DZA,36.6624384,3.1451475
IAU-008084-1,DZA,35.6649093,-0.6357739
IAU-019477-1,DZA,36.8488017,6.8893321
IAU-019478-1,DZA,36.4515943,7.4189174
IAU-019479-1,DZA,35.4717243,7.0926288
IAU-019480-1,DZA,35.9325381,0.0878185
IAU-019483-1,DZA,36.7502671,5.0407496
IAU-019485-2,DZA,34.9196001,-1.3017452
