iau_id1,eng_name,orig_name,foundedyr,yrclosed,private01,divisions,phd_granting,specialized,countrycode,latitude,longitude
IAU-000810-1,Alberoni University,Alberoni University,1998,,0,9,0,0,AFG,35.1270053,69.3193192
IAU-000916-1,American University Of Afghanistan,(AUAF),2006,,1,3,0,0,AFG,34.4755224,69.1264538
IAU-001074-1,Air University,Aria University,2009,,1,5,0,0,AFG,34.4755224,69.1264538
IAU-001075-1,Ariana University,Ariana Institute of Higher Education,2004,,1,4,1,0,AFG,34.4333701,70.4336195
IAU-001360-1,Badakhshan University,(BU),1988,,0,9,0,0,AFG,37.1037178,70.5278778
IAU-001365-1,Baghlan University,Baghlan University,1993,,0,6,0,0,AFG,35.9442328,68.7085063
IAU-001393-1,Bakhtar University,Bakhtar University,2005,,1,5,0,0,AFG,34.5103926,69.1393927
IAU-001413-1,Balkh University,Balkh University,1988,,0,16,0,0,AFG,36.7101554,67.1272604
IAU-001429-1,Bamyan University,Bamyan University,1996,,0,7,0,0,AFG,34.8011295,67.8327737
IAU-006264-1,Faryab University,Faryab University,1977,,0,6,0,0,AFG,35.9172556,64.7808495
IAU-006651-1,Ghazni University,Ghazni University,2008,,0,5,0,0,AFG,33.5588632,68.4468637
IAU-007188-1,Herat University,Herat University,1988,,0,16,0,0,AFG,34.3677723,62.2113082
IAU-009878-1,Jawzjan University,Jawzjan University,2002,,0,7,0,0,AFG,36.6726284,65.7413376
IAU-010035-1,Shaheed Rabbani Education University,(SREU),1913,,0,7,0,0,AFG,34.5323516,69.1127177
IAU-010036-1,Kabiver University Of Medical Sciences - Abu Ali Ibn Sina,(KUMS),1932,,0,5,1,0,AFG,34.519347,69.1329308
IAU-010037-1,Kabul Polytechnic University,Polytechnical University of Kabul (KPU),1963,,0,9,0,0,AFG,34.5342002,69.1193756
IAU-010095-1,Kandahar University,Kandhar University (KDRU),1990,,0,11,0,0,AFG,31.639681,65.696471
IAU-010141-1,Carney University,(KIHE),2002,,1,5,0,0,AFG,43.6609086,-79.3959518
IAU-010167-1,Kateb University,Kateb Institute of Higher Education,2007,,1,4,0,0,AFG,34.4968727,69.0522453
IAU-010326-1,Khatam Al-Nabieen University,(KNU),2007,,1,10,1,0,AFG,33.5363879,68.4151265
IAU-010342-1,Khurasan University,Khorasan University (KU),2006,,1,5,0,0,AFG,34.4303223,70.4326769
IAU-010601-1,Kunduz University,Kundoz University (KU),1967,,0,7,0,0,AFG,36.7114739,68.8632166
IAU-011307-1,Maiwand Institute Of Higher Education,Maiwand University (MIHE),2009,,1,3,0,1,AFG,34.5603087,69.153885
IAU-011428-1,Maryam University,(MU),2007,,1,4,0,0,AFG,34.5250992,69.3225628
IAU-011482-1,The Other University,Mawlana Private University,2007,,1,5,1,0,AFG,36.717488,67.0883365
IAU-012340-1,Nangarhar University,(NU),1962,,0,13,1,0,AFG,34.4773441,70.3671505
IAU-013270-1,Paktia University,(PU),2003,,0,7,0,0,AFG,33.6381234,69.2331223
IAU-013390-1,Parwan University,Parwan University,1961,,0,8,0,0,AFG,35.0010661,69.1680172
IAU-013550-1,Kabul University,Da Kabul Pohantoon (KU),1932,,0,14,0,0,AFG,34.5161109,69.1344327
IAU-014347-1,Samangan Institute Of Higher Education,Samangan University,2008,,0,3,0,1,AFG,36.4676085,52.3511183
IAU-015227-1,Shaikh Zayed University - Khost,Khost University (SZU),1992,,0,12,0,0,AFG,33.3506126,69.8702774
IAU-016108-1,Takhar University,(TU),1991,,0,7,0,0,AFG,36.7425502,69.4870854
IAU-022210-1,Salam University,Salam Institute of Higher Education,2009,,1,5,0,0,AFG,34.5470644,69.1421
IAU-022336-1,Dawat University,Dawat University,2009,,1,7,0,0,AFG,34.5312763,69.0886573
IAU-022351-1,Ghalib University,Ghalib Institute of Higher Education,2010,,1,5,1,0,AFG,34.5655113,69.1647436
IAU-027358-1,"Sayed Jamaluddin Afghan University, Kunar",Sayed Jamaluddin Afghan Institute of Higher Education (SJA),2010,,0,2,0,0,AFG,34.8601074,71.140129
IAU-027359-1,Laghman University,(LU),2010,,0,4,0,0,AFG,34.7041932,70.201104
IAU-027360-1,Ghazni Technical And Engineering University,Ghazni University of Technical Engineering (GTEU),2014,,0,2,0,0,AFG,33.5328851,68.4118805
IAU-027361-1,Afghanistan National Agricultural Sciences And Technology University,(ANASTU),2014,,0,3,0,0,AFG,31.4525255,65.8628683
IAU-027364-1,Helmand University,Helmand Higher Education Institute (HUN),2006,,0,4,0,0,AFG,31.5801024,64.3700635
IAU-027367-1,Panjshir Higher Education Institute,(PJRU),2010,,0,3,0,1,AFG,35.2476968,69.4262261
IAU-027370-1,Uruzgan Institute Of Higher Education,Uruzgan University,2012,,0,2,0,1,AFG,33.8886575,65.1049805
IAU-027373-1,Ghor Institute Of Higher Education,(GIHE),2011,,0,3,0,1,AFG,34.5000702,69.1450588
IAU-027374-1,Farah Higher Education Institute,Farah University (FU),2015,,0,2,0,1,AFG,32.4295902,62.1462251
IAU-027378-1,Wardak Institute Of Higher Education,Maidan Wardak University (WU),2006,,0,2,0,1,AFG,34.3790143,68.735911
